Date,Price
2010-09-28,19.340375900268555
2010-09-29,19.199317932128906
2010-09-30,19.19148063659668
2010-10-01,19.10527992248535
2010-10-04,18.736968994140625
2010-10-05,19.081769943237305
2010-10-06,19.144460678100586
2010-10-07,19.222829818725586
2010-10-08,19.254175186157227
2010-10-11,19.26984405517578
2010-10-12,19.457927703857422
2010-10-13,19.85757827758789
2010-10-14,19.771381378173828
2010-10-15,20.01430892944336
2010-10-18,20.23372459411621
2010-10-19,19.66950798034668
2010-10-20,19.834070205688477
2010-10-21,19.920272827148438
2010-10-22,19.888925552368164
2010-10-25,19.740036010742188
2010-10-26,20.29642677307129
2010-10-27,20.413970947265625
2010-10-28,20.594209671020508
2010-10-29,20.89983558654785
2010-11-01,21.11924934387207
2010-11-02,21.46405601501465
2010-11-03,21.18194580078125
